frame,track_id,class,x1,y1,x2,y2,confidence
35,23,player,909.0,491.0,922.0,517.0,0.683
35,17,player,802.0,784.0,830.0,815.0,0.62
35,16,player,909.0,545.0,923.0,574.0,0.541
36,8,player,1054.0,707.0,1075.0,738.0,0.875
36,3,player,1265.0,576.0,1277.0,609.0,0.866
36,17,player,796.0,784.0,824.0,816.0,0.851
36,7,player,738.0,549.0,750.0,580.0,0.85
36,4,player,512.0,685.0,533.0,716.0,0.844
36,22,player,880.0,614.0,894.0,642.0,0.824
36,2,player,1068.0,614.0,1085.0,649.0,0.82
36,14,player,812.0,656.0,831.0,686.0,0.818
36,5,player,597.0,612.0,628.0,648.0,0.814
36,23,player,908.0,490.0,922.0,517.0,0.744
36,21,player,930.0,600.0,945.0,630.0,0.744
36,6,player,598.0,549.0,610.0,580.0,0.739
36,19,player,1698.0,538.0,1711.0,569.0,0.702
36,16,player,908.0,547.0,922.0,576.0,0.669
36,24,player,971.0,512.0,984.0,538.0,0.596
37,4,player,511.0,684.0,533.0,716.0,0.869
37,17,player,792.0,785.0,818.0,818.0,0.867
37,3,player,1265.0,576.0,1277.0,610.0,0.866
37,7,player,737.0,549.0,750.0,581.0,0.855
